320 110
4 102 1.546500
12 18 -2.296800
12 47 1.241000
39 59 -1.266500
45 15 -0.853100
49 57 -0.334000
51 52 1.462600
54 26 -0.773000
57 56 -0.485300
71 27 1.019400
72 56 -2.339400
74 63 -0.379500
76 12 -0.385100
102 91 -0.441700
111 92 -1.066400
121 41 -1.475400
124 49 0.525300
125 29 -0.786900
134 56 0.253000
138 16 -0.535800
144 99 -2.505500
151 8 -0.542700
193 73 0.645800
194 18 -0.212700
209 104 -0.782100
211 100 1.679600
216 85 0.782800
227 66 0.104900
233 70 1.401100
239 65 0.560100
246 50 2.219900
276 91 -0.175700
284 62 -0.887400
289 16 -0.051700
290 109 0.781700
